https://www.make.com/en/help/about-make/make--what-s-new-and-what-s-changed.html,About Make/ Make: what's new and what's changed
https://www.make.com/en/help/about-make/upgrading-to-make.html,About Make/ Upgrading to Make
https://www.make.com/en/help/about-make/migrating-webhooks-to-make.html,About Make/ Migrating webhooks to Make
https://www.make.com/en/help/about-make/faqs.html,About Make/ FAQs
https://www.make.com/en/help/about-make/release-notes.html,About Make/ Release notes
https://www.make.com/en/help/general/pricing-parameters.html,General/ Pricing parameters
https://www.make.com/en/help/general/affiliate-program.html,General/ Affiliate program
"https://www.make.com/en/help/general/changing-your-subscription--upgrading,-downgrading,-or-canceling-.html","General/ Changing your subscription (upgrading, downgrading, or canceling)"
https://www.make.com/en/help/general/changing-card-details-and-viewing-invoices.html,"General/ Changing payment details, billing address, and viewing invoices"
https://www.make.com/en/help/general/how-make-works.html,General/How Make works
https://www.make.com/en/help/general/how-to-change-your-email-address.html,General/How to change your email address
https://www.make.com/en/help/general/manage-email-preferences.html,General/ Manage email preferences
https://www.make.com/en/help/general/how-to-delete-an-account.html,General/How to delete an account
https://www.make.com/en/help/general/deleting-user-data-from-make.html,General/ Deleting user data from Make
https://www.make.com/en/help/general/manage-time-zones.html,General/ Manage time zones
https://www.make.com/en/help/general/request-sales-tax-exemption.html,General/Request sales tax exemption
https://www.make.com/en/help/general/extra-operations-auto-purchasing.html,General/ Enable extra operations auto-purchasing
https://www.make.com/en/help/access-management/organizations.html,Access management/ Organizations
https://www.make.com/en/help/access-management/teams.html,Access management/ Teams
https://www.make.com/en/help/access-management/single-sign-on.html,Access management/ Single Sign-on
https://www.make.com/en/help/access-management/okta-saml-sso-implementation.html,Access management/ Okta SAML
https://www.make.com/en/help/access-management/two-factor-authentication.html,Access management/ Two-factor authentication
https://www.make.com/en/help/connections/allowing-connections-to-and-from-make-ip-addresses.html,Connections/Allowing connections to and from Make IP addresses
https://www.make.com/en/help/connections/connecting-to-any-web-service.html,Connections/Connecting Make to any web service
https://www.make.com/en/help/connections/keys.html,Connections/Keys
https://www.make.com/en/help/connections/connecting-to-services.html,Connections/ Connecting to services
https://www.make.com/en/help/connections/connecting-to-any-web-service-that-uses-api-tokens-authorization.html,Connections/ Connecting Make to any web service that uses API tokens authorization
https://www.make.com/en/help/connections/connecting-to-google-services-using-a-custom-oauth-client.html,Connections/ Connecting Make to Google services using a custom OAuth client
https://www.make.com/en/help/connections/connecting-to-google-services-with-new-security-measures.html,Connections/ Connecting to Google Services With New Security Measures
https://www.make.com/en/help/connections/receiving-a-webhook-from-a-web-service.html,Connections/ Receiving a webhook from a web service
https://www.make.com/en/help/scenarios/creating-a-scenario.html,Scenarios/ Creating a scenario
https://www.make.com/en/help/scenarios/scenario-editor.html,Scenarios/ Scenario editor
https://www.make.com/en/help/scenarios/scenario-detail.html,Scenarios/Scenario detail
https://www.make.com/en/help/scenarios/scenario-settings.html,Scenarios/ Scenario settings
https://www.make.com/en/help/scenarios/scheduling-a-scenario.html,Scenarios/ Scheduling a scenario
https://www.make.com/en/help/scenarios/active-and-inactive-scenarios.html,Scenarios/ Active and inactive scenarios
https://www.make.com/en/help/scenarios/scenario-inputs.html,Scenarios/ Scenario inputs
https://www.make.com/en/help/scenarios/filtering.html,Scenarios/ Filtering
https://www.make.com/en/help/scenarios/incomplete-executions.html,Scenarios/ Incomplete executions
https://www.make.com/en/help/scenarios/counting-the-number-of-operations.html,Scenarios/ Counting the number of operations
https://www.make.com/en/help/scenarios/cycles.html,Scenarios/Cycles
"https://www.make.com/en/help/scenarios/execution,-cycles,-and-phases.html","Scenarios/ Scenario execution, cycles, and phases"
https://www.make.com/en/help/scenarios/scenario-execution-flow.html,Scenarios/ Scenario execution flow
https://www.make.com/en/help/scenarios/scenario-execution-history.html,Scenarios/ Scenario execution history
https://www.make.com/en/help/scenarios/how-to-restore-a-previous-scenario-version.html,Scenarios/How to restore a previous scenario version
https://www.make.com/en/help/scenarios/scenario-templates.html,Scenarios/ Scenario templates
https://www.make.com/en/help/scenarios/keyboard-shortcuts.html,Scenarios/Keyboard shortcuts
https://www.make.com/en/help/scenarios/integromat-devtool.html,Scenarios/ Make DevTool
https://www.make.com/en/help/modules/app-lifecycle.html,Modules/App lifecycle
https://www.make.com/en/help/modules/types-of-modules.html,Modules/ Types of modules
https://www.make.com/en/help/modules/module-settings.html,Modules/ Module settings
https://www.make.com/en/help/modules/selecting-the-first-bundle.html,Modules/ Selecting the first bundle
https://www.make.com/en/help/modules/aggregator.html,Modules/ Aggregator
https://www.make.com/en/help/modules/iterator.html,Modules/ Iterator
https://www.make.com/en/help/modules/router.html,Modules/ Router
https://www.make.com/en/help/modules/converger.html,Modules/ Converger
https://www.make.com/en/help/modules/how-to-get-text-parser-to-produce-an-output-value-.html,Modules/How to get Text Parser to produce an output value
https://www.make.com/en/help/modules/replacing-legacy-modules-with-new-modules.html,Modules/Replacing Legacy Modules with New Modules
https://www.make.com/en/help/modules/replacing-google-sheets-legacy-modules-with-new-modules.html,Modules/Replacing Google Sheets legacy Modules with New Modules
https://www.make.com/en/help/modules/upgrading-gmail-and-email-app-versions-using-integromat-devtool.html,Modules/Upgrading Gmail and Email App Versions Using Make DevTool
https://www.make.com/en/help/mapping/mapping.html,Mapping/ Mapping
https://www.make.com/en/help/mapping/item-data-types.html,Mapping/ Item data types
https://www.make.com/en/help/mapping/type-coercion.html,Mapping/ Type coercion
https://www.make.com/en/help/mapping/date-examples.html,Mapping/Examples of date format:
https://www.make.com/en/help/mapping/working-with-files.html,Mapping/ Working with files
https://www.make.com/en/help/tools/http.html,Tools/ HTTP 
https://www.make.com/en/help/tools/xml.html,Tools/ XML
https://www.make.com/en/help/tools/data-store.html,Tools/ Data store
https://www.make.com/en/help/tools/data-structures.html,Tools/ Data structures
https://www.make.com/en/help/tools/json.html,Tools/ JSON
https://www.make.com/en/help/tools/image.html,Tools/ Image
https://www.make.com/en/help/tools/email.html,Tools/ Email
https://www.make.com/en/help/tools/flow-control.html,Tools/ Flow control
https://www.make.com/en/help/tools/text-parser.html,Tools/ Text Parser
https://www.make.com/en/help/tools/webhooks.html,Tools/ Webhooks 
https://www.make.com/en/help/tools/tools.html,Tools/ Tools
https://www.make.com/en/help/functions/using-functions.html,Functions/ Using functions
https://www.make.com/en/help/functions/general-functions.html,Functions/ General functions
https://www.make.com/en/help/functions/string-functions.html,Functions/ String functions
https://www.make.com/en/help/functions/array-functions.html,Functions/ Array functions
https://www.make.com/en/help/functions/date---time-functions.html,Functions/ Date & time functions
https://www.make.com/en/help/functions/math-functions.html,Functions/ Math functions
https://www.make.com/en/help/functions/custom-functions.html,Functions/ Custom functions
https://www.make.com/en/help/functions/certificates-and-keys.html,Functions/ Certificates and keys
https://www.make.com/en/help/functions/tokens-for-date-time-parsing.html,Functions/ Tokens for date|time parsing
https://www.make.com/en/help/functions/tokens-for-date-time-formatting.html,Functions/ Tokens for date|time formatting
https://www.make.com/en/help/functions/variables.html,Functions/ Variables
https://www.make.com/en/help/functions/math-variables.html,Functions/ Math variables
https://www.make.com/en/help/errors/introduction-to-error-handling.html,Errors/Introduction to Error Handling
https://www.make.com/en/help/errors/retry.html,Errors/ Retry
https://www.make.com/en/help/errors/throw.html,Errors/ Throw
https://www.make.com/en/help/errors/error-processing.html,Errors/ Error processing
https://www.make.com/en/help/errors/advanced-error-handling.html,Errors/ Advanced error handling
https://www.make.com/en/help/errors/directives-for-error-handling.html,Errors/ Directives for error handling
https://www.make.com/en/help/devices.html#adding-the-device-using-a-qr-code,Devices/Adding the Device Using a QR Code
https://www.make.com/en/help/apps/built-in-apps.html,Apps/ Built-in apps
https://www.make.com/en/help/apps/business-intelligence.html,Apps/ Business Intelligence
https://www.make.com/en/help/apps/business-operations-and-erps.html,Apps/ Business Operations and ERPs
https://www.make.com/en/help/apps/commerce.html,Apps/ Commerce
https://www.make.com/en/help/apps/communication.html,Apps/ Communication
https://www.make.com/en/help/apps/crm-and-sales-tools.html,Apps/ CRM and Sales tools
https://www.make.com/en/help/apps/customer-support.html,Apps/ Customer Support
https://www.make.com/en/help/apps/database.html,Apps/ Database
https://www.make.com/en/help/apps/education.html,Apps/ Education
https://www.make.com/en/help/apps/file-and-document-management.html,Apps/ File and Document Management
https://www.make.com/en/help/apps/hr-management.html,Apps/ HR management
https://www.make.com/en/help/apps/internet-of-things.html,Apps/ Internet of Things
https://www.make.com/en/help/apps/it-and-development.html,Apps/ IT and Development
https://www.make.com/en/help/apps/language-tools.html,Apps/ Language Tools
https://www.make.com/en/help/apps/lifestyle.html,Apps/ Lifestyle
https://www.make.com/en/help/apps/marketing.html,Apps/ Marketing
https://www.make.com/en/help/apps/productivity.html,Apps/ Productivity
https://www.make.com/en/help/apps/process-management.html,Apps/ Process Management
https://www.make.com/en/help/apps/surveys-and-forms.html,Apps/ Surveys and Forms
https://www.make.com/en/help/apps/travel.html,Apps/ Travel
https://www.make.com/en/help/apps/website-building.html,Apps/ Website Building
https://www.make.com/en/help/tutorials/using-airtable-with-make.html,Tutorials/ Using Airtable with Make
https://www.make.com/en/help/tutorials/using-google-sheets-with-make.html,Tutorials/ Using Google Sheets with Make
https://www.make.com/en/help/tutorials/using-notion-with-make.html,Tutorials/ Using Notion with Make
https://www.make.com/en/help/tutorials/using-telegram-bot-with-make.html,Tutorials/ Using Telegram Bot with Make
https://www.make.com/en/help/tutorials/automate-invoicing-with-invoice-ninja.html,Tutorials/Automate invoicing with invoice ninja
https://www.make.com/en/help/tutorials/how-to-fully-reset-your-google-connections.html,Tutorials/How to fully reset your Google connections
https://www.make.com/en/help/tutorials/how-to-connect-airtable-and-google-contacts-and-synchronize-contacts-between-these-services.html,Tutorials/ How to connect Airtable and Google contacts and synchronize contacts between these services
https://www.make.com/en/help/tutorials/how-to-iterate-columns-of-a-google-sheet-worksheet.html,Tutorials/How to iterate columns of a Google Sheet worksheet
https://www.make.com/en/help/tutorials/calling-microsoft-graph-rest-api-via-the--http-make-a-oauth-2-0-request--module.html,"Tutorials/Calling Microsoft Graph REST API via the ""HTTP Make a OAuth 2.0 request"" module"
https://www.make.com/en/help/tutorials/use-json-generator-to-create-a-json-data-structure-and-make-an-http-request-using-an-api-key--sendgrid-example-.html,Tutorials/ Use JSON Generator to create a JSON Data Structure and make an HTTP request using an API Key (SendGrid example)
https://www.make.com/en/help/tutorials/extract-an-item-and-or-its-value-from-an-array-of-collections.html,Tutorials/Extract an item and|or its value from an array of collections
"https://www.make.com/en/help/tutorials/how-to-connect-email,-text-parser-and-google-sheets.html","Tutorials/ How to connect Email, Text Parser and Google Sheets"
https://www.make.com/en/help/tutorials/calling-google-apis-via-the--http-make-a-oauth-2-0-request--module.html,"Tutorials/Calling Google APIs via the ""HTTP Make a OAuth 2.0 request"" module"
https://www.make.com/en/help/tutorials/create-a-data-thing-or-a-bulk-of-data-things-on-bubble.html,Tutorials/ Create a Data Thing or a Bulk of Data Things on Bubble
"https://www.make.com/en/help/tutorials/how-to-capture-email-and-phone-via-webhooks--on-chatfuel-,-validate-them-using-regex-and-store-them-in-a-data-store.html","Tutorials/ How to capture Email and Phone via Webhooks, validate them using Regex and store them in a Data Store"
https://www.make.com/en/help/tutorials/example-of-a-default-route-configured-for-a-router.html,Tutorials/Example of a Default route configured for a router
https://www.make.com/en/help/tutorials/mobile-app.html,Tutorials/ Mobile app
https://www.make.com/en/help/tutorials/how-to-connect-chatfuel-to-airtable.html,Tutorials/ How to connect Chatfuel to Airtable
https://www.make.com/en/help/tutorials/get-a-tweet-on-twitter-when-a-new-tweet-is-created-in-a-row-in-a-google-sheets-spreadsheet.html,Tutorials/ Get a tweet on Twitter when a new tweet is created in a row in a Google Sheets spreadsheet
https://www.make.com/en/help/tutorials/how-to-connect-make-to-any-web-service-that-uses-oauth2-authorization.html,Tutorials/ How to connect Make to any web service that uses OAuth2 authorization
https://www.make.com/en/help/tutorials/how-to-send-a-message-to-a-discord-channel-via-http-when-a-google-sheet-is-updated.html,Tutorials/How to send a message to a Discord channel via HTTP when a Google Sheet is updated
https://www.make.com/en/help/tutorials/update-google-sheet-row-with-twitterid-and-date-after-posting-it-on-twitter.html,Tutorials/ Update Google Sheet row with TwitterID and Date after posting it on Twitter
https://www.make.com/en/help/tutorials/send-data-to-make-as-json-via-an-action-in-a-bubble-workflow-using-the-api-connector-plugin.html,Tutorials/Send data to Make as JSON via an action in a Bubble workflow using the API Connector plugin
https://www.make.com/en/help/tutorials/typeform-make-data-stores.html,Tutorials/ Typeform Make Data Stores
https://www.make.com/en/help/tutorials/how-to-prevent-google-sheets-from-changing-numbers-into-dates.html,Tutorials/How to prevent Google Sheets from changing numbers into dates
